,Barridas ganadas,Intercepciones,Despejes,Despejes por alto,Regateado,Error que llevó al gol,Errores que terminan el disparo,Posesiones ganadas en el último tercio,Faltas cometidas,Barridas totales
1353,1,1,1,,1,,,,1,2
1356,1,3,6,,0,,,1,4,2
1357,0,1,0,,0,,,,0,0
1358,1,3,2,,1,,,,1,2
1359,0,0,0,,0,,,,0,0
1367,0,1,1,,0,,,,0,0
1369,0,0,5,,0,,,,2,0
1371,1,1,2,,0,,,1,0,1
1377,0,1,7,,1,,,,1,0
1383,1,2,2,,0,,,1,0,1
1385,3,0,6,,0,,,,2,5
1390,0,2,2,,0,,,,0,0
1393,3,0,2,,2,,,,0,3
1400,0,0,4,,1,,,,1,0
1408,0,2,9,,0,,,,0,0
1409,0,1,12,,0,,,,2,0
1410,0,0,2,,1,,,,0,0
1413,0,3,6,,0,,,,2,0
1416,0,0,0,,0,,,,0,0
1421,1,0,2,,0,,,1,1,1
1424,3,1,3,,1,,,,0,4
1425,0,0,2,,0,,,,0,0
1429,2,0,2,,1,,,,4,2
1430,1,0,3,,0,,,,0,2
1434,1,4,2,,0,,,,2,1
1435,1,1,2,,2,,,,3,1
1439,3,1,1,,0,,,,1,3
1441,0,0,1,,0,,,,0,0
1442,0,2,5,,0,,,,0,0
1448,1,1,0,,0,,,,0,1
1453,1,0,2,,2,,,,3,1
1458,0,0,0,,0,,,,0,0
1460,3,2,4,,3,,,,3,3
1465,2,0,4,,2,,,,3,3
1469,1,0,1,,1,,,,1,3
1472,0,1,5,,0,,,,0,0
1474,2,2,2,,2,,,,1,4
1475,0,0,2,,1,,,,0,0
1476,2,0,9,,0,,,,1,2
1484,2,1,1,,0,,,,2,3
1488,0,0,2,,0,,,,2,0
1490,1,1,4,,0,,,,1,3
1492,0,1,0,,0,,,1,1,0
1493,0,1,1,,1,,,,0,0
1495,1,0,3,,0,,,,0,1
1500,0,0,0,,0,,,,0,0
1503,2,1,5,,0,,,,1,3
1508,1,1,3,,0,,,,1,1
1511,0,1,2,,0,,1,,5,0
1512,0,1,2,,0,,,,2,0
1516,1,1,2,,1,,,,2,2
1519,1,1,0,,0,,,1,0,3
1523,0,0,0,,0,,,,0,0
1532,3,1,2,,1,,,,4,3
1536,0,0,5,,0,,,,0,0
1538,0,0,2,,1,,,,1,0
1540,2,1,3,,1,,,,2,3
1541,2,0,1,,1,,,,1,2
1542,2,1,7,,0,,,,1,4
1545,1,1,1,,0,,,,1,1
1551,3,0,3,,1,,,,0,3
1553,1,0,2,,0,,,,0,1
1555,0,0,0,,0,,,,0,0
1556,0,0,3,,0,,,,0,0
1558,1,0,2,,0,,,,2,2
1563,0,0,1,,0,,,,0,0
1564,0,0,0,,4,,,,1,0
1569,2,1,0,,0,,,,1,2
1573,0,0,0,,0,,,,0,0
1575,1,0,2,,0,,,,0,2
1579,3,2,4,,1,,,,0,4
1580,2,4,0,,0,,,1,2,2
1581,1,0,3,,0,,,,1,1
1585,2,0,5,,0,,,,0,4
1589,0,1,0,,1,,,1,1,0
1595,3,1,0,,2,,,,0,5
1599,1,2,1,,0,,,,2,3
1602,0,1,6,,0,,,,0,0
1605,1,1,2,,0,,,,0,2
1606,1,1,2,,1,,,1,2,1
1607,0,1,1,,0,,,,2,0
1609,0,0,0,,0,,,,1,0
1610,0,1,1,,0,,,,2,0
1611,3,0,2,,0,,,,1,3
1615,0,1,2,,0,,,,0,0
1620,0,2,0,,0,,1,1,1,0
1621,1,0,7,,0,,,,0,2
1622,0,0,1,,0,,,,0,0
1625,1,0,0,,0,,,,0,1
1627,2,0,0,,1,,,,0,2
1629,0,0,3,,2,,,,0,0
1631,2,1,1,,0,,,,0,2
1640,0,0,0,,1,,,1,0,0
1643,3,2,2,,1,,,,1,4
1647,2,1,2,,2,,,,3,3
1650,0,2,3,,1,,,,0,0
1651,3,0,3,,0,,,,0,5
1653,0,0,0,,1,,,,0,0
1662,2,0,2,,1,,,,2,5
1663,1,0,4,,0,,,,1,1
1668,2,1,4,,1,,,,0,2
1672,1,2,3,,0,,,,3,1
1675,0,1,3,,0,,,,0,0
1676,1,1,7,,0,,,,0,2
1684,0,1,1,,0,,,,1,0
1688,0,0,0,,0,,,,0,0
1692,1,0,5,,0,,,,1,1
1693,1,0,1,,2,,,,0,4
1696,0,0,8,,2,,,,0,0
1697,1,0,2,,0,,,1,0,3
1704,1,0,5,,1,,,,2,2
1705,0,1,2,,1,,,1,2,0
1707,2,2,1,,1,,,,1,2
1708,0,1,5,,0,,,,1,0
1710,1,3,3,,1,,,,2,2
1712,0,1,2,,0,,,,0,0
1717,1,0,0,,0,,,,0,1
1721,1,2,0,,1,,,,2,1
1722,1,1,4,,0,,,,0,1
1725,1,0,6,,0,,,,4,1
1726,0,1,4,,1,,,,1,0
1729,3,0,3,,1,,,,1,4
1731,0,0,1,,0,,,,0,0
1737,0,0,1,,0,,,,0,0
1742,2,1,5,,0,,,1,2,2
1743,1,3,3,,1,,,,0,1
1747,0,0,1,,0,,,,0,0
1750,0,0,0,,0,,,,0,0
1754,0,0,0,,0,,,,0,0
1756,0,0,4,,0,,,,1,0
1760,0,3,4,,1,,,,0,0
1761,0,1,6,,2,,,,2,0
1764,0,0,7,,0,,,,2,0
1769,0,2,2,,0,,,,1,0
1773,1,1,0,,2,,,,1,1
1777,0,0,6,,0,,,,0,0
1781,1,0,4,,0,,,,1,3
1782,0,0,0,,1,,,,0,0
1784,0,1,4,,0,,,,0,0
1788,3,1,2,,1,,,,3,4
1796,1,2,6,,3,,,,2,1
1799,0,2,3,,0,,,,0,0
1803,1,2,0,,0,,,,0,1
1804,0,0,0,,0,,,,0,0
1805,1,3,2,,0,,,,1,1
1806,1,1,4,,0,,,,3,2
1807,0,3,3,,0,,,,1,0
1808,2,0,1,,2,,,1,0,4
1815,0,0,5,,0,,,,0,0
1818,3,3,6,,0,,,1,1,3
1819,0,0,3,,2,,,,2,0
1822,0,0,0,,0,,,,0,0
1823,0,0,13,,1,,,,2,0
1826,0,0,0,,0,,,,0,0
1836,2,0,1,,0,,,,0,4
1838,0,0,3,,1,,,,1,0
1839,1,4,7,,0,,,,2,1
1849,1,0,1,,1,,,,1,4
1852,0,0,4,,0,,,,0,0
1853,0,1,0,,0,,,1,1,0
1854,0,0,0,,0,,,,2,0
1855,2,0,5,,0,,,,0,2
1856,4,2,10,,0,,,,1,5
1857,4,0,5,,1,,,,1,4
1859,0,2,2,,0,,,,0,0
1864,1,1,6,,1,,,1,2,2
1871,3,0,0,,0,,,,0,4
1872,1,2,3,,1,,,,2,3
1874,0,1,3,,0,,,,0,0
1878,1,0,1,,1,,,,3,2
1882,0,0,1,,0,,,,0,0
1883,2,0,6,,0,,,,0,3
1888,0,0,1,,0,,,,0,0
1890,0,1,1,,0,,,,0,0
1894,3,2,8,,0,,,,0,4
1897,0,0,2,,0,,,,2,0
1902,1,0,0,,0,,,,3,1
1908,0,0,7,,0,,,,2,0
1913,2,0,2,,0,,,,4,2
1914,3,1,4,,0,,,,4,3
1915,0,1,2,,0,,,,2,0
1918,1,0,4,,1,,,,2,4
1927,1,1,5,,0,,,,0,1
1928,1,0,1,,0,,,,1,2
1929,1,1,0,,1,,,,0,2
1931,2,2,5,,1,,,,0,4
1934,0,0,2,,0,,,,0,0
1935,3,2,1,,0,,,,0,4
1936,0,0,0,,0,,,,0,0
1937,2,0,3,,0,,,,2,2
1939,0,0,0,,0,,,,0,0
1940,0,0,0,,0,,,,0,0
1941,1,2,0,,1,,,,1,1
1942,2,3,0,,2,,,,2,4
1948,0,1,1,,0,,,,0,0
1958,1,0,3,,0,,,,1,1
1961,0,1,0,,0,,,,0,0
1964,0,1,3,,0,,,,1,0
1970,0,0,8,,1,,,,2,0
1972,1,0,0,,0,,,,3,1
1975,1,1,1,,0,,,1,1,1
1977,1,0,0,,0,,,,1,1
1980,0,1,5,,1,,,1,3,0
1985,0,0,1,,0,,,1,0,0
1992,1,1,3,,1,,,,1,2
1994,1,1,5,,1,,,,1,1
1995,0,3,7,,0,,,,0,0
2003,1,1,2,,1,,,,1,1
2004,1,1,2,,1,,,,0,1
2009,3,0,0,,0,,,,0,5
2014,2,0,9,,0,,,,1,2
2015,0,1,3,,1,,,,0,0
2017,0,0,2,,1,,,,2,0
2021,0,0,3,,0,,,,0,0
2025,0,2,2,,1,,,,1,0
2026,0,1,3,,0,,,,0,0
2029,0,0,0,,0,,,,0,0
2035,0,1,2,,1,,,,0,0
2038,0,0,1,,0,,,,3,0
2039,2,0,9,,1,,,,1,3
2040,1,0,7,,1,,,,0,2
2042,1,0,11,,0,,,,0,1
2047,4,1,7,,0,,,,3,4
2048,1,2,2,,0,,,,0,1
2049,1,0,6,,0,,,,1,2
2052,2,0,4,,2,,,,1,3
2056,0,0,1,,0,,,,0,0
2060,0,1,0,,2,,,,2,0
2065,1,1,8,,0,,,,1,1
2066,0,4,5,,0,,,,4,0
2067,0,1,1,,0,,,,1,0
2069,1,0,0,,0,,,1,0,1
2072,2,2,9,,0,,,1,1,2
2073,0,0,5,,0,,,,0,0
2082,3,3,2,,0,,,,2,4
2083,1,1,7,,0,,,,1,2
2085,2,1,3,,2,,,,0,2
2095,0,2,4,,1,,,,1,0
2099,0,1,10,,1,,,,3,0
2101,2,1,5,,0,,,,1,4
2102,1,0,4,,0,,,,1,1
2103,2,1,1,,4,,,1,1,3
2105,0,0,0,,0,,,,0,0
2106,2,1,4,,0,,,,0,2
2110,3,0,2,,0,,,1,2,3
2114,1,0,1,,1,,,,1,1
2117,0,1,0,,0,,,,0,0
2118,1,0,5,,2,,,,1,2
2121,0,2,5,,1,,1,,1,0
2122,0,1,4,,0,,,,1,0
2124,2,1,4,,3,,,,0,2
2131,0,0,1,,0,,,,0,0
2133,0,0,0,,0,,,,2,0
2138,1,1,1,,0,,,,3,1
2139,0,2,8,,0,,,,1,0
2141,1,0,6,,0,,1,,2,4
2142,3,1,3,,2,,,,1,5
2144,0,0,1,,1,,,,0,0
2149,0,0,1,,0,,,,0,0
2158,0,0,2,,0,,,,0,0
2159,1,0,2,,0,,,,1,2
2163,0,0,2,,0,,,1,2,0
2164,0,3,1,,1,,,,2,0
2165,1,0,0,,2,,,,0,1
2168,1,0,2,,2,,,,1,1
2170,0,0,3,,0,,,,0,0
2172,1,0,1,,1,,,,0,2
2176,0,1,6,,0,,,,3,0
2177,2,0,1,,0,,,,1,2
2178,1,0,0,,0,,,,1,2
2179,0,1,2,,0,,,,0,0
2180,1,3,2,,2,,,,0,1
2181,1,0,3,,0,,,,2,4
2182,0,0,1,,0,,,,0,0
2183,0,0,1,,0,,,,2,0
2193,0,0,0,,0,,,,0,0
2195,1,2,4,,0,,,,1,1
2198,0,0,0,,0,,,,0,0
2199,2,1,0,,1,,1,,0,2
2200,1,1,4,,1,,,,1,1
2205,0,0,1,,0,,,,3,0
2211,2,1,1,,0,,,,0,3
2215,0,0,3,,0,,,,0,0
2218,1,0,0,,1,,,,0,1
2219,0,0,1,,0,,,,0,0
2220,2,0,0,,0,,,,0,2
2228,1,0,5,,0,,,,1,1
2231,0,1,1,,1,,,,0,0
2232,0,1,0,,1,,,,1,0
2233,1,0,3,,1,,,,1,1
2237,0,0,0,,0,,,,0,0
2241,4,3,1,,4,,,1,1,6
2243,1,0,0,,0,,,,0,1
2246,0,0,1,,1,,,1,2,0
2247,0,0,0,,0,,,,0,0
2254,3,1,1,,0,,,,0,3
2262,1,1,5,,0,,,,1,3
2263,1,2,6,,0,,,,1,2
2264,1,0,4,,0,,,,1,1
2266,0,0,2,,0,,,,1,0
2267,0,0,5,,0,,,,1,0
2271,0,1,4,,0,,,1,0,0
2272,1,0,5,,0,,,,1,1
2275,0,0,0,,1,,,,0,0
2284,0,0,5,,0,,1,,1,0
2285,2,1,1,,0,,,,2,6
2286,0,0,8,,0,,,,1,0
2287,0,0,0,,0,,,,0,0
2289,1,1,3,,0,,,,4,1
2296,1,0,5,,0,,,,1,1
2300,4,1,1,,0,,,,4,7
2301,1,2,2,,1,,,2,1,1
2303,0,0,0,,0,,,,0,0
2305,2,3,4,,2,,,,2,4
2308,1,1,3,,0,,,,0,2
2313,0,0,0,,0,,,,0,0
2316,1,0,2,,1,,,,2,1
2318,3,1,2,,1,,,,0,3
2319,2,2,6,,0,,,,2,2
2321,1,0,4,,0,,,,0,2
2323,0,1,1,,1,,,1,1,0
2326,2,1,8,,1,,,,0,5
2327,0,0,1,,0,,,,0,0
2334,0,0,4,,0,,,,0,0
2336,0,0,0,,0,,,,0,0
2337,0,0,3,,0,,,,0,0
2338,0,0,5,,0,,,,0,0
2339,1,1,1,,0,,,,0,1
2340,2,1,2,,1,,,,3,2
2347,0,1,7,,0,,,,2,0
2354,3,2,5,,1,,,,0,3
2360,2,1,2,,1,,,,1,3
2362,2,2,1,,0,,,1,0,3
2364,1,2,2,,0,,,1,0,1
2366,2,0,1,,0,,,,0,2
2370,0,3,5,,0,,,1,1,0
2377,1,1,4,,0,,,,0,1
2379,1,0,2,,0,,,,3,1
2381,1,1,1,,3,,,,0,3
2383,1,3,1,,1,,,,2,1
2385,1,2,1,,0,,,,4,2
2387,0,6,3,,0,,,,1,0
2391,1,0,2,,0,,,,0,1
2398,0,1,3,,0,,,,1,0
2400,0,1,1,,0,,,,0,0
2401,1,0,5,,0,,,,0,1
2404,0,1,0,,1,,,,0,0
2405,0,1,1,,0,,,,0,0
2406,0,1,5,,0,,,,1,0
2407,1,3,2,,1,,,,1,2
2409,0,1,0,,2,,,,0,0
2412,0,1,4,,2,,,,3,0
2424,0,0,5,,1,,,,0,0
2425,4,1,2,,0,,,,0,5
2427,2,0,1,,0,,,,1,2
2429,0,0,0,,1,,,1,1,0
2432,0,0,4,,0,,,,0,0
2433,0,2,4,,0,,,,1,0
2440,3,1,3,,0,,,,0,4
2441,0,1,0,,0,,,,2,0
2447,2,1,5,,1,,,,6,2
2449,1,0,2,,0,,,,0,1
2456,1,0,2,,0,,,,0,1
2461,1,0,8,,1,,,,0,1
2464,0,1,0,,2,,,,0,0
2465,0,0,1,,1,,,,0,0
2473,3,3,3,,0,,,,0,4
2476,0,0,2,,0,,,,1,0
2477,1,2,6,,1,,,,1,3
2479,1,6,4,,0,,1,,1,1
2480,4,1,2,,1,,,,3,4
2482,0,0,5,,1,,,,1,0
2483,1,0,6,,0,,,,1,1
2496,3,2,4,,0,,,,0,4
2502,1,0,1,,0,,,,0,2
2505,0,1,4,,0,,,,0,0
2509,0,3,4,,1,,,,2,0
2511,0,0,1,,0,,,,1,0
2512,2,0,2,,0,,,,0,2
2514,0,1,1,,0,,,,0,0
2523,0,0,7,,0,,,,1,0
2528,2,1,0,,0,,,,0,2
2536,2,2,3,,3,,,,3,2
2537,1,1,5,,0,,,,1,1
2538,3,0,0,,0,,,,1,3
2539,1,0,0,,0,,,,0,1
2540,1,0,2,,0,,,,0,1
2551,2,1,6,,0,,,,2,3
2553,1,0,0,,0,1,,,1,1
2557,1,0,6,,0,,,,2,2
2558,1,1,1,,1,,,,2,1
2562,0,0,1,,0,,,,0,0
2563,0,0,4,,1,,,,1,0
2566,3,0,2,,0,,1,,1,3
2567,0,1,10,,2,,,,0,0
2569,0,0,0,,1,,,,1,0
2572,1,2,1,,0,,,,0,1
2577,2,0,3,,0,,,,1,2
2578,1,0,0,,0,,,,0,2
2579,0,0,1,,1,,,1,1,0
2583,1,0,1,,0,,,,0,1
2584,0,0,2,,0,,,,0,0
2587,1,0,1,,0,,,,0,1
2588,0,0,0,,0,,,,0,0
2589,0,1,4,,0,,,,1,0
2590,0,1,2,,2,,,,0,0
2591,2,0,1,,0,,,,0,3
2592,0,0,1,,0,,,,0,0
2600,0,1,4,,0,,,,0,0
2601,1,0,2,,0,,,1,0,1
2604,1,2,1,,1,,,,1,2
2607,9,0,2,,0,,,,0,11
2611,1,0,0,,0,,,,0,3
2615,2,1,0,,1,,,,0,2
2617,0,1,3,,1,,,,1,0
2618,1,0,5,,0,1,,,1,1
2625,2,0,5,,0,,,,1,2
2626,1,1,2,,0,,,,0,1
2634,1,0,4,,1,,,,1,2
2637,1,4,6,,1,,,,1,1
2639,1,0,0,,0,,,,0,1
2640,0,1,5,,0,,,,1,0
2642,1,2,6,,0,,,,2,2
2644,2,0,2,,3,,,,1,2
2647,2,0,3,,0,,,,1,2
2653,0,1,2,,1,,,1,1,0
2661,0,0,3,,0,,,,1,0
2662,1,1,2,,0,,,,1,2
2665,0,2,2,,1,,,,1,0
2668,1,1,7,,0,,,,2,2
2669,1,0,5,,0,,,,1,6
2671,0,1,3,,1,,,,3,0
2672,0,2,4,,0,,,,2,0
2674,3,0,1,,1,,,,3,5
2675,0,0,1,,0,,,,0,0
2676,0,0,1,,0,,,,0,0
2681,1,1,5,,1,,,,1,1
2684,0,0,0,,0,,,,0,0
2689,1,2,2,,0,,,,0,2
2691,0,0,6,,1,,,,0,0
2695,2,1,5,,0,,,,0,4
2697,0,1,0,,0,,,,0,0
2699,0,1,0,,0,,1,,0,0
2700,0,0,0,,0,,,,1,0
2701,1,2,0,,1,,,,0,1
2702,0,1,1,,0,,,,1,0
2705,1,1,7,,0,,,,2,2
2708,1,0,7,,0,,,,1,1
2713,0,0,0,,0,,,,0,0
2715,2,1,2,,0,,,,0,3
2716,1,2,5,,1,,,,2,1
2719,0,0,3,,0,,,,0,0
2720,0,2,6,,0,,,,1,0
2724,0,0,0,,0,,,,1,0
2727,0,1,1,,0,,,,1,0
2734,2,1,2,,0,,,,2,2
2739,5,4,6,,0,,,,2,8
2743,1,1,3,,0,,,,2,1
2747,0,0,0,,0,,,,0,0
2748,3,2,0,,3,,,,0,4
2749,1,1,0,,1,,,,0,3
2752,2,0,0,,1,,,,1,2
2757,1,1,3,,1,,,1,0,1
2761,0,5,5,,1,,,,0,0
2764,1,3,6,,0,,,,3,2
2765,2,1,1,,0,,,,1,2
2766,2,0,6,,0,,,,0,2
2767,1,1,4,,0,,,,1,1
2769,1,0,0,,1,,,,1,1
2772,4,3,1,,0,,,,0,6
2779,0,0,5,,0,,,,1,0
2781,0,3,7,,0,,,,2,0
2782,0,0,2,,0,,,,0,0
2784,0,0,2,,0,,,,0,0
2796,1,2,6,,1,,,,3,2
2798,0,1,2,,0,,,,0,0
2799,0,0,1,,1,,,,0,0
2801,0,0,1,,0,,,1,0,0
2803,1,0,4,,1,,,,1,1
2810,0,0,2,,0,,,,1,0
2812,0,0,0,,0,,,,0,0
2818,3,0,6,,0,,,,2,3
2819,1,1,4,,0,,,,2,2
2821,4,2,0,,2,,,,1,7
2824,0,0,0,,0,,,,1,0
2830,0,2,3,,0,,,,1,0
2837,1,0,2,,2,,,,1,1
2839,0,0,2,,0,,,,1,0
2841,0,1,6,,0,,,,0,0
2843,0,0,6,,0,,,1,0,0
2847,0,3,0,,0,,,,0,0
2853,1,3,5,,1,,,,0,1
2854,0,1,1,,0,,,,3,0
2859,0,0,0,,0,,,,1,0
2861,2,3,5,,0,,,,1,3
2862,3,1,1,,4,,,,1,3
2864,1,2,2,,0,,,1,2,1
2865,0,0,0,,0,,,,0,0
2873,2,2,3,,0,,,,2,4
2876,1,0,2,,0,,,,0,1
2878,1,2,3,,0,,,,1,1
2880,0,1,5,,0,,,,0,0
2884,1,0,1,,0,,,,1,3
2887,0,1,0,,1,,,2,0,0
2895,1,0,3,,1,,,,1,1
2896,0,0,0,,0,,,,0,0
2901,0,0,0,,1,,,,0,0
2903,0,0,0,,0,,,,0,0
2905,0,0,0,,0,,,,0,0
2909,1,1,0,,0,,,,0,1
2910,0,2,7,,1,,,,0,0
2918,0,3,9,,0,,,,1,0
2923,1,1,1,,0,,,,0,1
2927,2,2,7,,1,,,,1,3
2929,0,0,2,,0,,,,0,0
2931,0,3,3,,0,,,,0,0
2932,0,1,5,,0,,,,1,0
2936,0,7,4,,0,,,,2,0
2939,1,4,7,,1,,,,1,1
2940,0,0,5,,0,,,,0,0
2941,1,2,7,,1,,,1,1,2
2942,1,0,2,,1,,,1,2,2
2948,2,0,4,,1,,,,1,2
2949,2,1,0,,2,,,,2,2
2956,0,0,0,,1,,,,0,0
2963,1,0,4,,0,,,,0,1
2965,1,0,0,,0,,,,0,2
2974,0,0,4,,0,,,,1,0
2977,1,0,0,,0,,,,2,2
2979,2,4,2,,0,,,,0,3
2980,2,1,1,,0,,,,0,2
2986,0,0,3,,0,,,,3,0
2987,1,1,1,,0,,,,0,1
2993,0,0,0,,0,,,,0,0
2995,2,3,4,,0,,,,1,2
2997,2,2,5,,0,,,2,5,5
2999,0,0,0,,0,,,,0,0
3008,3,2,3,,0,,,,0,4
3012,0,1,4,,0,,,,0,0
3013,0,1,6,,1,,,,0,0
3016,0,0,1,,0,,,,0,0
3017,1,0,0,,3,,,1,3,3
3023,1,1,0,,1,,,,0,2
3024,2,2,3,,0,,,,0,3
3026,0,2,9,,3,,,1,2,0
3027,1,2,4,,3,,,,0,3
3035,0,0,2,,0,,,,1,0
3038,0,0,3,,0,,,,1,0
3041,3,3,4,,2,,,,0,3
3045,0,0,9,,0,,,,1,0
3046,1,0,4,,1,,,1,1,3
3050,0,0,1,,0,,,,1,0
3052,0,0,2,,0,,,,0,0
3055,1,1,1,,1,,,,0,1
3056,2,0,6,,0,,,,3,2
3060,0,1,2,,0,,,,1,0
3061,1,0,7,,1,,,,1,2
3062,0,0,3,,0,,,,0,0
3063,3,0,1,,0,,,,0,4
3069,2,4,4,,0,,1,,2,2
3073,0,2,5,,0,,,,1,0
3077,2,6,1,,0,,,,2,2
3085,2,0,2,,1,,,,0,3
3091,0,2,6,,0,,,,1,0
3099,1,1,8,,0,,,,0,2
3101,0,1,3,,0,,,1,2,0
3103,0,1,2,,0,,,,1,0
3105,4,1,6,,1,,,,1,5
3106,1,1,3,,0,,,1,4,1
3107,1,1,3,,2,,,,1,1
3110,2,0,4,,0,,,,0,5
3112,0,0,4,,1,,,1,1,0
3119,1,0,1,,0,,,,4,2
3120,1,0,10,,1,,,,2,2
3121,1,3,3,,1,,,,1,1
3123,1,1,6,,0,,,,2,2
3125,0,3,2,,0,,,,1,0
3127,0,1,4,,1,,1,,1,0
3128,0,0,0,,0,,,,0,0
3129,0,2,2,,0,,,,1,0
3136,1,1,6,,0,,,,1,3
3138,2,3,2,,0,,,,1,3
3156,4,3,7,,2,,,,2,7
3158,0,0,7,,0,,,,2,0
3159,1,2,2,,1,,,,3,2
3165,1,4,5,,0,,,,0,1
3166,1,2,4,,0,,,,0,2
3172,3,0,2,,1,,,1,0,4
3175,0,0,9,,1,,1,,0,0
3178,1,1,2,,0,,,,0,2
3180,0,0,0,,0,,,,0,0
3181,1,1,4,,1,,,,0,4
3183,1,0,2,,2,,,1,3,1
3190,3,0,7,,0,,,,1,4
3194,0,1,0,,2,,,,1,0
3198,0,0,2,,0,,,,0,0
3200,1,0,0,,0,,,1,0,1
3203,2,6,1,,0,,,,0,2
3205,0,3,5,,0,,,,0,0
3207,0,3,8,,0,,,,0,0
3210,0,0,4,,0,,,,2,0
3212,0,0,0,,0,,,,0,0
3217,0,0,0,,0,,,,0,0
3222,1,1,2,,2,,,,2,1
3225,3,2,4,,0,,,1,1,3
3226,1,1,2,,0,,,1,2,1
3232,1,1,1,,1,,,,2,1
3235,1,0,0,,0,,,,1,1
3239,1,0,4,,1,,,,1,2
3240,0,1,5,,1,,,,2,0
3243,0,0,2,,0,,,,2,0
3245,0,0,0,,3,,,,2,0
3248,2,1,0,,1,,,,0,3
3252,1,1,5,,1,,,,2,3
3257,0,0,1,,0,,,,0,0
3264,1,0,1,,0,,,,0,1
3265,1,0,4,,1,1,1,,1,1
3267,3,0,3,,1,,,1,2,5
3269,1,0,2,,0,,,,0,1
3272,1,1,3,,0,,,,1,1
3274,1,0,2,,0,,,,0,2
3276,0,1,5,,0,,,,2,0
3283,2,1,0,,1,,,1,1,2
3284,2,3,7,,1,,,,1,3
3287,1,2,6,,1,,,,0,1
3288,0,2,2,,3,,,,1,0
3291,0,4,1,,5,,,1,3,0
3296,0,0,0,,0,,,,0,0
3298,0,1,0,,1,,,,0,0
3303,2,2,1,,0,,,,2,2
3304,1,0,2,,0,,,1,0,1
3308,0,0,0,,0,,,,1,0
3309,0,4,1,,0,,,,1,0
3310,2,1,1,,2,,,,0,3
3313,1,0,6,,0,,,,3,1
3316,0,1,6,,0,,,,0,0
3320,0,1,3,,0,,,,1,0
3330,3,2,3,,1,,,,1,4
3334,0,0,8,,0,,,,0,0
3335,0,0,3,,0,,,,0,0
3336,2,0,2,,2,,,,0,3
3338,1,0,0,,1,,,1,2,1
3339,0,0,6,,1,,,,2,0
3343,0,1,2,,0,,,,2,0
3348,0,0,2,,1,,,,2,0
3351,2,4,1,,2,,,,1,2
3352,0,2,12,,0,,,,0,0
3355,1,0,1,,1,,,1,1,1
3357,2,1,1,,1,,,,2,2
3358,1,2,4,,2,,,1,1,2
3360,0,0,4,,0,,,,1,0
3365,0,1,0,,0,,,,0,0
3372,1,1,3,,0,,,,0,2
3375,0,2,6,,0,,,,0,0
3380,2,0,4,,0,,,,0,2
3381,0,0,4,,0,,,,0,0
3382,1,1,0,,0,1,,,0,2
3384,1,2,3,,0,,,,3,1
3385,1,0,1,,2,,,,1,3
3387,3,2,5,,1,,,,4,4
3399,0,0,0,,0,,,,0,0
3400,1,1,9,,2,,,,1,1
3403,0,0,3,,0,,,,0,0
3404,0,3,2,,1,,,,2,0
3407,1,1,4,,0,,,,0,1
3414,2,2,0,,0,,,1,1,3
3415,0,0,2,,1,,,,2,0
3416,0,0,7,,0,,,,1,0
3418,2,4,4,,0,,,,1,2
3421,1,0,1,,3,,1,,0,1
3429,0,1,2,,1,,,,0,0
3430,0,2,4,,0,,,,1,0
3431,1,1,6,,0,,,,2,2
3432,2,1,1,,1,,,,1,2
3439,3,1,1,,1,,,,0,3
3447,1,1,1,,0,,,,4,1
3450,0,0,1,,1,,,,1,0
3451,0,0,2,,0,,,,1,0
3454,1,0,2,,0,,,1,1,1
3457,1,1,4,,0,,,,0,1
3460,0,0,1,,0,,,,0,0
3461,0,0,0,,0,,,,0,0
3463,3,2,3,,0,,,,0,4
3465,4,1,8,,2,,,1,1,7
3466,0,0,0,,1,,,,2,0
3470,0,0,1,,1,,,,1,0
3473,0,2,9,,0,,,,4,0
3478,0,0,3,,1,,,,2,0
3480,0,0,2,,0,,,,0,0
3481,1,3,8,,0,,,,1,3
3484,2,0,0,,0,,,,0,4
3485,1,0,0,,0,,,,0,1
3486,4,1,5,,1,,,,0,5
3488,1,0,0,,0,,,1,1,1
3495,1,0,4,,0,,,,1,1
3496,0,1,7,,0,,,,1,0
3498,2,1,0,,0,,,,3,3
3499,1,2,1,,0,,,,0,1
3505,2,0,4,,0,,,1,2,3
3509,3,2,2,,0,,,,4,3
3514,1,1,1,,0,,,,0,1
3515,0,2,0,,0,,,1,0,0
3520,1,2,0,,1,,,,1,3
3521,2,0,7,,0,,,,0,2
3522,0,1,5,,1,,,,2,0
3523,1,1,0,,1,,,,0,1
3530,1,2,2,,1,,,,4,2
3531,0,0,6,,0,,,,0,0
3536,3,4,3,,1,,,,1,4
3539,0,0,7,,0,,,,0,0
3540,1,0,2,,0,,,,0,1
3541,1,1,0,,0,,,1,0,1
3545,0,0,2,,0,,,,0,0
3546,1,0,2,,1,,1,,0,3
3547,5,1,0,,1,,,,2,6
3551,0,0,0,,0,,,,0,0
3558,2,2,5,,0,,,,0,3
3564,0,0,5,,0,,,,0,0
3565,0,0,1,,0,,,,1,0
3566,0,0,0,,1,,,,1,0
3571,1,1,2,,1,,,1,0,1
3572,2,3,0,,1,,,,3,4
3574,4,0,2,,2,,,1,1,4
3576,0,1,3,,1,,,,1,0
3578,0,0,3,,0,,,,1,0
3580,1,4,3,,2,,,,0,1
3582,0,0,3,,0,,,,1,0
