,Barridas ganadas,Intercepciones,Despejes,Despejes por alto,Regateado,Error que llevó al gol,Errores que terminan el disparo,Posesiones ganadas en el último tercio,Faltas cometidas,Barridas totales
10626,2,0,5,,2,,,,1,3
10627,0,1,0,,1,,,,1,0
10629,3,1,6,,2,,,,0,4
10631,0,1,1,,0,,,,0,0
10632,0,1,7,,0,,,,0,0
10640,1,1,6,,0,,,,1,3
10641,1,0,7,,0,,,,1,1
10646,0,1,0,,1,,,1,0,0
10647,1,0,1,,1,,,,0,1
10648,1,2,3,,2,,,,1,2
10650,1,1,1,,0,,,,1,1
10653,2,0,4,,2,,,,2,3
10656,0,0,2,,0,,,1,2,0
10664,1,0,11,,0,,,,1,1
10667,0,0,1,,1,,,,0,0
10674,1,0,7,,2,,,,1,1
10675,0,0,4,,0,,,,0,0
10676,0,1,3,,0,,,1,2,0
10677,2,1,2,,1,,,1,2,2
10682,0,1,8,,0,,,,1,0
10683,0,0,0,,0,,,,1,0
10685,0,0,6,,1,,,,0,0
10686,0,0,0,,0,,,,2,0
10690,0,0,15,,1,,,,1,0
10695,0,2,8,,1,,,,1,0
10697,1,2,6,,0,,,,0,1
10698,0,1,2,,0,,,,1,0
10700,1,1,3,,0,,,,1,1
10707,0,0,3,,0,,,,1,0
10712,1,0,7,,0,,,,1,1
10714,1,0,0,,0,,,,1,1
10720,0,2,2,,0,,,,0,0
10722,1,3,2,,0,,,,1,2
10723,0,0,3,,0,,,,1,0
10726,0,0,3,,0,,,,0,0
10727,1,0,1,,0,,,,0,1
10728,0,2,2,,0,,,1,2,0
10733,0,1,0,,1,,,,1,0
10740,0,0,1,,0,,,,0,0
10744,1,0,0,,2,,,1,3,2
10745,0,1,1,,0,,,,0,0
10746,2,1,2,,3,,1,,0,2
10748,0,1,13,,1,,,,0,0
10750,1,1,1,,1,,,,2,2
10756,1,0,2,,1,,,,0,3
10757,3,0,10,,0,,,,2,4
10758,2,0,3,,0,,,,1,3
10760,0,0,0,,0,,,,0,0
10761,0,0,0,,0,,,1,3,0
10762,0,0,2,,0,,,,0,0
10763,2,1,2,,1,,,,0,5
10764,0,0,5,,0,,,,2,0
10765,0,0,9,,0,,,,0,0
10768,1,1,1,,0,,,,2,2
10774,0,1,2,,0,,,,2,0
10775,0,0,3,,0,,,,1,0
10780,0,0,1,,0,,,,1,0
10781,0,1,1,,0,,,,1,0
10785,1,0,7,,0,,,,1,5
10786,3,0,4,,1,,,,0,3
10793,0,0,0,,0,,,,2,0
10796,2,1,4,,0,,,,1,4
10800,1,1,0,,0,,,,1,1
10801,1,0,6,,1,,,,0,1
10805,2,3,6,,0,,,,1,2
10809,0,0,2,,0,,,,2,0
10814,2,1,5,,0,,,,0,2
10817,2,3,7,,0,,,1,0,2
10818,1,0,4,,0,,,,0,2
10826,2,1,2,,0,,,,2,4
10827,1,4,7,,0,,,,0,1
10831,0,1,10,,0,,,,2,0
10833,0,0,0,,0,,,,0,0
10838,1,2,1,,0,,,,0,1
10841,0,3,10,,0,,,,0,0
10842,1,0,4,,1,,,,3,1
10844,3,0,6,,1,,,,0,4
10845,1,0,5,,1,,,,1,1
10851,3,1,3,,1,,,1,2,7
10861,0,0,0,,0,,,,1,0
10862,0,2,1,,0,,,,1,0
10864,3,0,2,,0,1,,,2,5
10873,3,1,0,,0,,,1,1,4
10877,2,1,1,,3,,,,1,3
10879,0,0,1,,0,,,,0,0
10883,1,0,5,,0,,,,2,1
10885,1,0,2,,0,,,,1,1
10887,0,0,0,,0,,,,1,0
10888,0,0,2,,0,,,,2,0
10889,1,1,3,,1,,,,1,1
10896,0,1,0,,0,,,,1,0
10897,0,1,12,,1,,,,4,0
10898,1,1,8,,0,,,,1,1
10899,0,0,4,,0,,,,0,0
10902,0,0,0,,2,,,,1,0
10915,1,1,1,,2,,,,4,2
10917,1,1,3,,0,,,,0,1
